0,1,Seasons,Team,City,Owner,Home ground,Founded,Captain,Coach,"('Season', 'Season')","('No. of teams', 'No. of teams')","('Final', 'Winner')","('Final', 'Winning margin')","('Final', 'Runner-up')","('Venue', 'Venue')","('Player of the Tournament', 'Player of the Tournament')","('Season (No. of teams)', 'Hosts(s)Teams')","('2016 (5)', 'UAE')","('2017 (5)', 'UAE Pakistan')","('2018 (6)', 'UAE Pakistan')","('2019 (6)', 'UAE Pakistan')","('2020 (6)', 'Pakistan')","('2021 (6)', 'Pakistan UAE')","('2022 (6)', 'Pakistan')","('2023 (6)', 'Pakistan')","('2024  (6)', 'Pakistan')","('2025  (6)', 'Pakistan')",Title(s),Runner-up,Seasons won,Seasons runner-up,Title sponsor,Period,Sponsorship cost (per year),Ref.,Territory,Years,Channels and streaming services,vtePakistan Super League,vtePakistan Super League.1,vtePakistan Super League.2,vte Cricket in Pakistan,vte Cricket in Pakistan.1,vteTwenty20 cricket competitions,vteTwenty20 cricket competitions.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrator,Pakistan Cricket Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headquarters,Gaddafi Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format,Twenty20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First edition,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latest edition,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tournament format,Double round-robin and Playoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of teams,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current champion,Lahore Qalandars (3rd title),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most successful,Islamabad United Lahore Qalandars (3 titles each),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most runs,"Babar Azam (3,792)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most wickets,Hasan Ali (125)[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,Pakistan PTV Sports A Sports Ten Sports International List of broadcasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website,psl-t20.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2024 Details,6.0,Islamabad United  163/8 (20 overs),2 wickets Scorecard,Multan Sultans 159/9 (20 overs),"National Stadium, Karachi",Shadab Khan (Islamabad United),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2025 Details,6.0,Lahore Qalandars  204/4 (19.5 overs),6 wickets Scorecard,Quetta Gladiators  201/9 (20 overs),"Gaddafi Stadium, Lahore",Hassan Nawaz (Quetta Gladiators),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Islamabad United,W,PO,W,PO,Grp,PO,PO,PO,W,PO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Karachi Kings,PO,PO,PO,PO,W,PO,Grp,Grp,Grp,PO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lahore Qalandars,Grp,Grp,Grp,Grp,RU,Grp,W,W,Grp,W,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Multan Sultans,Team did not exist,Team did not exist,Grp,Grp,PO,W,RU,RU,RU,Grp,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Peshawar Zalmi,PO,W,RU,RU,PO,RU,PO,PO,PO,Grp,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Quetta Gladiators,RU,RU,PO,W,Grp,Grp,Grp,Grp,PO,RU,,,,,,,,,,,,,,,,,,
,,,Islamabad United,,,,,,,,,,,,,,,,,,,,,,,,,3.0,–,"2016, 2018, 2024",–,,,,,,,,,,,,,,
,,,Lahore Qalandars,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,"2022, 2023, 2025",2020,,,,,,,,,,,,,,
,,,Multan Sultans,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,2021,"2022, 2023, 2024",,,,,,,,,,,,,,
,,,Peshawar Zalmi,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,2017,"2018, 2019, 2021",,,,,,,,,,,,,,
,,,Quetta Gladiators,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,2019,"2016, 2017, 2025",,,,,,,,,,,,,,
,,,Karachi Kings,,,,,,,,,,,,,,,,,,,,,,,,,1.0,–,2020,–,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBL Pakistan,2016–2018,PKR 54.4 crore (US$5.2 Million),[46],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBL Pakistan,2019–2021,PKR 214.8 crore (US$14.3 Million),[48],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBL Pakistan,2022–2025,PKR 340 crore (US$22.2 Million),[49],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan,2024,A Sports HD[63] Ten Sports HD[64] Myco (OTT)[65] SnackVideo (APP)[66] Tamasha (OTT)[67]  Tapmad (OTT)[68],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,2024,SuperSport[69],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia,2024,Fox Cricket[70],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,2024,T Sports[71]Tapmad (OTT)[72],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean,2024,Flow Sports[73],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central America:-,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Asia:-,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,2024,Fancode (OTT)[74],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
